"Diagram Data","Price","Salesperson","Stock Number","Vehicle Information","Creation Date","unique id"
"1723049115464x653752938614489100","50000","1723048806279x328777167745581060","W31456","1723049115464x110147283509575680","Aug 7, 2024 6:45 pm","1723049115464x158205886816321540"
"1724095519516x547930727077642240","76900","1724095412119x614725645865058300","KZ4043","1724095519516x393488913509908500","Aug 19, 2024 9:25 pm","1724095519516x438765100738805800"
"1724095520447x325371131042725900","64900","1724095412119x614725645865058300","KZ4042","1724095520447x381898894288617500","Aug 19, 2024 9:25 pm","1724095520447x884232033385578500"
"1724095521307x280111843991093250","59900","1724095412119x614725645865058300","KZ4041","1724095521307x167119275493687300","Aug 19, 2024 9:25 pm","1724095521307x713343614611882000"
"1724095522066x608122424011784200","66900","1724095412119x614725645865058300","KZ4020","1724095522066x977828216202330100","Aug 19, 2024 9:25 pm","1724095522066x261723679801999360"
"1724095522929x495250047600951300","24900","1724095412119x614725645865058300","GR4007","1724095522929x854829745758535700","Aug 19, 2024 9:25 pm","1724095522929x352494853036179460"
"1724095523737x839689915801272300","24900","1724095412119x614725645865058300","GR4006","1724095523737x485709912293244900","Aug 19, 2024 9:25 pm","1724095523737x826180492314017800"
"1724095524470x435364554095460350","18900","1724095412119x614725645865058300","GR4005","1724095524470x184405747173687300","Aug 19, 2024 9:25 pm","1724095524470x942514191955394600"
"1724095526074x199985999965847550","24900","1724095412119x614725645865058300","GR4004","1724095526074x696593153399717900","Aug 19, 2024 9:25 pm","1724095526074x506854027416829950"
"1724095527905x168591706445316100","22900","1724095412119x614725645865058300","GR4003","1724095527905x110170890785521660","Aug 19, 2024 9:25 pm","1724095527905x863544956424028200"
"1724095528890x661249638435389400","18900","1724095412119x614725645865058300","GR4002","1724095528890x554416667675328500","Aug 19, 2024 9:25 pm","1724095528890x969783969150140400"
"1724095530290x181455957631696900","34900","1724095412119x614725645865058300","GR4001","1724095530290x977876901295816700","Aug 19, 2024 9:25 pm","1724095530290x938986907049132000"
"1724095531382x496939227073740800","59900","1724095412119x614725645865058300","GR3064","1724095531382x766944919463133200","Aug 19, 2024 9:25 pm","1724095531382x701617877135654900"
"1724095532639x570153492257439740","68900","1724095412119x614725645865058300","GR3063","1724095532639x741699815982235600","Aug 19, 2024 9:25 pm","1724095532639x575027452368388100"
"1724095533732x424188377419743200","59900","1724095412119x614725645865058300","GR3056","1724095533732x158924599153655800","Aug 19, 2024 9:25 pm","1724095533732x238960318522327040"
"1724095534670x507829293288521700","56900","1724095412119x614725645865058300","GR3055","1724095534670x554411077753372700","Aug 19, 2024 9:25 pm","1724095534670x145531312434053120"
"1724095535778x541063651052224500","68900","1724095412119x614725645865058300","GR3054","1724095535778x973767705080102900","Aug 19, 2024 9:25 pm","1724095535778x776924672842793000"
"1724095536731x795055869846618100","59900","1724095412119x614725645865058300","GR3053","1724095536731x371756443013480450","Aug 19, 2024 9:25 pm","1724095536731x690333755909865500"
"1724095537700x330800083049119740","68900","1724095412119x614725645865058300","GR3052","1724095537700x823733705585459200","Aug 19, 2024 9:25 pm","1724095537700x662317676694601700"
"1724095538660x749220994294480900","59900","1724095412119x614725645865058300","GR3051","1724095538660x755280219301478400","Aug 19, 2024 9:25 pm","1724095538660x504353343579095040"
"1724095539622x698573156329455600","66900","1724095412119x614725645865058300","GR3050","1724095539622x483039288177459200","Aug 19, 2024 9:25 pm","1724095539622x733489553219780600"
"1724095540714x651268012096618500","49900","1724095412119x614725645865058300","GR3044","1724095540714x887835124946960400","Aug 19, 2024 9:25 pm","1724095540714x423853442434334700"
"1724095541752x877642159213772800","69900","1724095412119x614725645865058300","GR3032","1724095541752x315065306210631700","Aug 19, 2024 9:25 pm","1724095541752x360517791947948000"
"1724095542768x224320557889880060","49900","1724095412119x614725645865058300","GR3022","1724095542768x176621653637464060","Aug 19, 2024 9:25 pm","1724095542768x310956113197793300"
"1724095543914x329390175218040800","49900","1724095412119x614725645865058300","GR3021","1724095543914x181404810441392130","Aug 19, 2024 9:25 pm","1724095543914x481949102230470660"
"1724095544976x628331415919919100","49900","1724095412119x614725645865058300","GR2155","1724095544976x350084104476950500","Aug 19, 2024 9:25 pm","1724095544976x534442335399837700"
"1724095546054x739268455956217900","61900","1724095412119x614725645865058300","GR2147","1724095546054x826650524701425700","Aug 19, 2024 9:25 pm","1724095546054x404842065615388700"
"1724095547157x622338597971820500","62900","1724095412119x614725645865058300","GR2128","1724095547157x154789045671034880","Aug 19, 2024 9:25 pm","1724095547157x126261980676751360"
"1724095549076x346087960165482500","64900","1724095412119x614725645865058300","GR2127","1724095549076x618944507727052800","Aug 19, 2024 9:25 pm","1724095549076x985849624420155400"
"1724095550866x740715023563751400","49900","1724095412119x614725645865058300","GR2125","1724095550866x674597454495612900","Aug 19, 2024 9:25 pm","1724095550866x233011063645798400"
"1724095551688x788014016678854700","54900","1724095412119x614725645865058300","GR2124","1724095551688x311123717503057900","Aug 19, 2024 9:25 pm","1724095551688x108118404958781440"
"1724095552718x600548486588661800","64900","1724095412119x614725645865058300","GR2121","1724095552718x969638993294786600","Aug 19, 2024 9:25 pm","1724095552718x180976314893729800"
"1724095553633x861019516198977500","44900","1724095412119x614725645865058300","GR2097","1724095553633x510201104083976200","Aug 19, 2024 9:25 pm","1724095553633x868862204544548900"
"1724095554608x577661294567751700","53900","1724095412119x614725645865058300","GR2091","1724095554608x666340387978477600","Aug 19, 2024 9:25 pm","1724095554608x150632509371318270"
"1724095555896x316812330348052500","44900","1724095412119x614725645865058300","GR2086A","1724095555896x441725930412441600","Aug 19, 2024 9:25 pm","1724095555896x610106376781561900"
"1724095557431x272594437903745020","49900","1724095412119x614725645865058300","GR2051","1724095557431x256751732209483780","Aug 19, 2024 9:25 pm","1724095557431x802554646277128200"
"1724095558267x496446783333335000","40900","1724095412119x614725645865058300","GR2045","1724095558267x808202792963932200","Aug 19, 2024 9:25 pm","1724095558267x367041077571485700"
"1724095559143x228058817759019000","39900","1724095412119x614725645865058300","GR2031","1724095559143x603630332096020500","Aug 19, 2024 9:25 pm","1724095559143x111261307615576060"
"1725395740382x472685867161354240","72900","1725395698237x945890071386783700","385269B","1725395740382x443036754231689200","Sep 3, 2024 10:35 pm","1725395740382x622630764143444000"
